Tempo;Corsa;Carico;Deformazione 1
(sec);(mm);(N);(%)
2.27400;0.02738;384.93006;-0.00281
2.28400;0.02744;385.61951;-0.00252
2.29400;0.02756;386.36627;-0.00178
2.30400;0.02768;387.04064;-0.00251
2.31400;0.02780;387.85804;-0.00294
2.32400;0.02792;388.76054;-0.00249
2.33400;0.02798;389.71913;-0.00261
2.34400;0.02810;390.69611;-0.00301
2.35400;0.02822;391.48065;-0.00205
2.36400;0.02834;392.17891;-0.00197
2.37400;0.02840;392.98041;-0.00218
2.38400;0.02852;393.57687;-0.00175
2.39400;0.02864;393.97865;-0.00129
2.40400;0.02870;394.67886;-0.00193
2.41400;0.02882;395.61763;-0.00183
2.42400;0.02894;396.53974;-0.00183
2.43400;0.02900;397.55385;-0.00244
2.44400;0.02912;398.17211;-0.00224
2.45400;0.02924;398.98809;-0.00123
2.46400;0.02936;399.66973;-0.00140
2.47400;0.02948;400.25269;-0.00182
2.48400;0.02954;400.94703;-0.00100
2.49400;0.02966;401.89931;-0.00057
2.50400;0.02978;402.79399;-0.00092
2.51400;0.02989;403.78529;-0.00084
2.52400;0.03001;404.71978;-0.00059
2.53400;0.03013;405.76532;-0.00094
2.54400;0.03025;406.71802;-0.00090
2.55400;0.03037;407.56636;-0.00006
2.56400;0.03055;408.34341;0.00032
2.57400;0.03067;409.30556;0.00004
2.58400;0.03079;410.17290;0.00044
2.59400;0.03091;411.06511;0.00078
2.60400;0.03109;412.19764;0.00089
2.61400;0.03121;413.34634;0.00094
2.62400;0.03139;414.48846;0.00061
2.63400;0.03151;415.53103;0.00034
2.64400;0.03163;416.73542;0.00033
2.65400;0.03181;417.93515;0.00050
2.66400;0.03193;418.99951;-0.00002
2.67400;0.03211;420.29847;-0.00002
2.68400;0.03223;421.50617;0.00067
2.69400;0.03235;422.39041;0.00031
2.70400;0.03247;423.58972;0.00014
2.71400;0.03259;424.68165;0.00056
2.72400;0.03270;425.41497;0.00065
2.73400;0.03288;426.38392;0.00039
2.74400;0.03300;427.51501;0.00089
2.75400;0.03312;428.78361;0.00089
2.76400;0.03324;429.83936;0.00027
2.77400;0.03336;430.92170;0.00028
2.78400;0.03348;431.82336;0.00099
2.79400;0.03366;432.65545;0.00117
2.80400;0.03378;433.81117;0.00154
2.81400;0.03390;435.25440;0.00222
2.82400;0.03402;436.49790;0.00211
2.83400;0.03414;437.46461;0.00165
2.84400;0.03426;438.32134;0.00244
2.85400;0.03438;439.18267;0.00272
2.86400;0.03450;440.14999;0.00272
2.87400;0.03462;441.13202;0.00338
2.88400;0.03474;441.97426;0.00353
2.89400;0.03486;442.83350;0.00250
2.90400;0.03498;443.91858;0.00248
2.91400;0.03510;444.78211;0.00283
2.92400;0.03522;445.80135;0.00282
2.93400;0.03534;446.77579;0.00284
2.94400;0.03546;447.70394;0.00315
2.95400;0.03557;448.52458;0.00322
2.96400;0.03569;449.49208;0.00308
2.97400;0.03581;450.29609;0.00301
2.98400;0.03593;451.23827;0.00265
2.99400;0.03605;452.42300;0.00209
3.00400;0.03617;453.53663;0.00255
3.01400;0.03629;454.46442;0.00286
3.02400;0.03641;455.20891;0.00255
3.03400;0.03653;455.91751;0.00310
3.04400;0.03665;456.85498;0.00381
3.05400;0.03677;458.29285;0.00401
3.06400;0.03689;459.67791;0.00408
3.07400;0.03707;460.56677;0.00444
3.08400;0.03713;461.37394;0.00399
3.09400;0.03725;461.95039;0.00361
3.10400;0.03737;462.56767;0.00426
3.11400;0.03749;463.21084;0.00428
3.12400;0.03761;464.14975;0.00430
3.13400;0.03773;465.08368;0.00509
3.14400;0.03785;466.06185;0.00565
3.15400;0.03797;467.14046;0.00493
3.16400;0.03809;468.12166;0.00482
3.17400;0.03821;468.99160;0.00495
3.18400;0.03827;469.76395;0.00494
3.19400;0.03838;470.55189;0.00493
3.20400;0.03850;471.64792;0.00532
3.21400;0.03862;472.60080;0.00530
3.22400;0.03868;473.59075;0.00479
3.23400;0.03880;474.78285;0.00470
3.24400;0.03892;475.63105;0.00430
3.25400;0.03904;476.29294;0.00378
3.26400;0.03910;476.96154;0.00384
3.27400;0.03922;478.03111;0.00448
3.28400;0.03934;479.21855;0.00491
3.29400;0.03946;480.09055;0.00523
3.30400;0.03952;480.83593;0.00576
3.31400;0.03964;481.45852;0.00528
3.32400;0.03976;482.39878;0.00545
3.33400;0.03988;483.40126;0.00672
3.34400;0.03994;484.36485;0.00704
3.35400;0.04006;485.50223;0.00665
3.36400;0.04018;486.59947;0.00689
3.37400;0.04030;487.57223;0.00704
3.38400;0.04042;488.42318;0.00701
3.39400;0.04054;489.38752;0.00759
3.40400;0.04066;490.16424;0.00784
3.41400;0.04078;490.89529;0.00747
3.42400;0.04090;491.67918;0.00708
3.43400;0.04102;492.36706;0.00698
3.44400;0.04114;493.35272;0.00659
3.45400;0.04131;494.59226;0.00639
3.46400;0.04143;495.85006;0.00705
3.47400;0.04155;497.15503;0.00734
3.48400;0.04173;498.55774;0.00709
3.49400;0.04185;499.78876;0.00700
3.50400;0.04197;500.88950;0.00728
3.51400;0.04215;501.82543;0.00716
3.52400;0.04227;502.84690;0.00787
3.53400;0.04239;504.24379;0.00821
3.54400;0.04257;505.69931;0.00766
3.55400;0.04269;506.67948;0.00739
3.56400;0.04281;507.49350;0.00764
3.57400;0.04293;508.33989;0.00737
3.58400;0.04305;509.28891;0.00732
3.59400;0.04317;510.56254;0.00779
3.60400;0.04329;511.95417;0.00736
3.61400;0.04341;513.20111;0.00733
3.62400;0.04359;514.39442;0.00871
3.63400;0.04371;515.33212;0.00947
3.64400;0.04383;516.25594;0.00938
3.65400;0.04395;517.38340;0.00918
3.66400;0.04406;518.67221;0.00865
3.67400;0.04418;519.58500;0.00762
3.68400;0.04430;520.78743;0.00781
3.69400;0.04448;522.01366;0.00858
3.70400;0.04460;523.13106;0.00823
3.71400;0.04472;524.18406;0.00878
3.72400;0.04484;525.25429;0.01029
3.73400;0.04496;526.17071;0.01037
3.74400;0.04508;527.14595;0.00915
3.75400;0.04520;528.16877;0.00836
3.76400;0.04532;529.36291;0.00750
3.77400;0.04544;530.62788;0.00702
3.78400;0.04556;531.92182;0.00780
3.79400;0.04568;533.00993;0.00936
3.80400;0.04580;534.19843;0.00963
3.81400;0.04586;535.66829;0.00923
3.82400;0.04598;536.88255;0.00982
3.83400;0.04610;537.44656;0.01000
3.84400;0.04622;538.29406;0.00908
3.85400;0.04634;539.22357;0.00921
3.86400;0.04646;539.99280;0.01011
3.87400;0.04658;540.55145;0.00949
3.88400;0.04670;541.25576;0.00995
3.89400;0.04682;542.43393;0.01192
3.90400;0.04699;543.83366;0.01093
3.91400;0.04711;545.11931;0.00988
3.92400;0.04723;546.25049;0.01027
3.93400;0.04729;547.33185;0.00977
3.94400;0.04747;548.20348;0.00934
3.95400;0.04753;549.05801;0.01137
3.96400;0.04765;549.85723;0.01199
3.97400;0.04777;550.57104;0.01062
3.98400;0.04789;551.63987;0.01144
3.99400;0.04801;552.78176;0.01178
4.00400;0.04813;553.76040;0.01042
4.01400;0.04825;554.67025;0.01000
4.02400;0.04837;555.36465;0.01095
4.03400;0.04849;556.05788;0.01082
4.04400;0.04855;556.97351;0.01136
4.05400;0.04867;557.71107;0.01310
4.06400;0.04879;558.51564;0.01231
4.07400;0.04885;559.60231;0.01079
4.08400;0.04897;560.72040;0.01119
4.09400;0.04909;561.86919;0.01104
4.10400;0.04921;563.05202;0.01075
4.11400;0.04933;563.78511;0.01187
4.12400;0.04939;564.47457;0.01291
4.13400;0.04951;565.28850;0.01205
4.14400;0.04963;566.21372;0.01209
4.15400;0.04969;566.89116;0.01293
4.16400;0.04980;567.70123;0.01186
4.17400;0.04992;568.54771;0.01112
4.18400;0.05004;569.41258;0.01126
4.19400;0.05010;570.24397;0.01122
4.20400;0.05022;570.98572;0.01123
4.21400;0.05034;571.68868;0.01286
4.22400;0.05046;572.50508;0.01306
4.23400;0.05052;573.66495;0.01195
4.24400;0.05064;574.88442;0.01218
4.25400;0.05076;576.03433;0.01185
4.26400;0.05088;576.77692;0.01060
4.27400;0.05100;577.59467;0.01079
4.28400;0.05112;578.31397;0.01256
4.29400;0.05124;579.17600;0.01265
4.30400;0.05142;580.05811;0.01325
4.31400;0.05154;581.00629;0.01458
4.32400;0.05166;582.06818;0.01372
4.33400;0.05178;583.20393;0.01257
4.34400;0.05196;584.43886;0.01350
4.35400;0.05208;585.68940;0.01359
4.36400;0.05220;586.89672;0.01325
4.37400;0.05238;587.80159;0.01417
4.38400;0.05255;588.82171;0.01468
4.39400;0.05267;590.20724;0.01373
4.40400;0.05279;591.93945;0.01406
4.41400;0.05291;593.41695;0.01473
4.42400;0.05309;594.75391;0.01346
4.43400;0.05321;596.37791;0.01264
4.44400;0.05333;597.93494;0.01343
4.45400;0.05345;598.95883;0.01315
4.46400;0.05357;599.81039;0.01282
4.47400;0.05369;600.84290;0.01437
4.48400;0.05381;602.15592;0.01479
4.49400;0.05399;603.39654;0.01347
4.50400;0.05411;604.39524;0.01427
4.51400;0.05423;605.42347;0.01508
4.52400;0.05435;606.46818;0.01409
4.53400;0.05447;607.29207;0.01450
4.54400;0.05459;608.28449;0.01561
4.55400;0.05471;609.34224;0.01527
4.56400;0.05483;610.72023;0.01502
4.57400;0.05501;612.08340;0.01580
4.58400;0.05513;612.95247;0.01530
4.59400;0.05525;613.86996;0.01446
4.60400;0.05537;614.82331;0.01502
4.61400;0.05548;615.82006;0.01518
4.62400;0.05560;616.80172;0.01477
4.63400;0.05572;617.83339;0.01611
4.64400;0.05584;619.33589;0.01743
4.65400;0.05596;620.81777;0.01663
4.66400;0.05608;622.23822;0.01610
4.67400;0.05620;623.41290;0.01637
4.68400;0.05632;624.14524;0.01548
4.69400;0.05644;624.70040;0.01508
4.70400;0.05656;625.56663;0.01622
4.71400;0.05668;626.70703;0.01688
4.72400;0.05680;627.95095;0.01713
4.73400;0.05692;628.88726;0.01716
4.74400;0.05704;629.74668;0.01698
4.75400;0.05716;630.74399;0.01616
4.76400;0.05728;631.83364;0.01646
4.77400;0.05740;632.94861;0.01669
4.78400;0.05752;634.30718;0.01638
4.79400;0.05764;635.87930;0.01706
4.80400;0.05776;637.20644;0.01799
4.81400;0.05788;638.12267;0.01794
4.82400;0.05800;639.00021;0.01843
4.83400;0.05812;639.93814;0.01890
4.84400;0.05823;640.93014;0.01871
4.85400;0.05835;641.99283;0.01831
4.86400;0.05847;643.08755;0.01843
4.87400;0.05859;643.78525;0.01845
4.88400;0.05871;644.73301;0.01805
4.89400;0.05883;645.55216;0.01818
4.90400;0.05895;646.42080;0.01847
4.91400;0.05901;647.36186;0.01782
4.92400;0.05913;648.19204;0.01770
4.93400;0.05925;649.06171;0.01795
4.94400;0.05937;649.90330;0.01742
4.95400;0.05949;650.84691;0.01745
4.96400;0.05955;651.95900;0.01811
4.97400;0.05967;653.01815;0.01804
4.98400;0.05979;653.78291;0.01807
4.99400;0.05985;654.38105;0.01877
5.00400;0.05997;655.22627;0.01911
5.01400;0.06009;655.96355;0.01879
5.02400;0.06021;656.79830;0.01912
5.03400;0.06027;657.52398;0.01953
5.04400;0.06039;658.64334;0.01953
5.05400;0.06051;659.57950;0.01946
5.06400;0.06063;660.46077;0.01986
5.07400;0.06069;661.25775;0.01927
5.08400;0.06081;662.19498;0.01900
5.09400;0.06093;663.38447;0.01954
5.10400;0.06105;664.43132;0.01976
5.11400;0.06116;665.32716;0.01980
5.12400;0.06128;666.32070;0.01965
5.13400;0.06140;667.23400;0.01957
5.14400;0.06152;668.16392;0.01956
5.15400;0.06164;669.29748;0.01968
5.16400;0.06176;670.54993;0.01975
5.17400;0.06194;671.86258;0.01935
5.18400;0.06206;673.09150;0.01933
5.19400;0.06218;674.07419;0.01961
5.20400;0.06236;674.94581;0.01965
